x, y
0.017687074829932092, 0.9662921348314606
0.034013605442176964, 0.943820224719101
0.05714285714285722, 0.7528089887640448
0.10612244897959194, 0.4831460674157304
0.08027210884353753, 0.6067415730337078
0.15510204081632661, 0.3370786516853932
0.20544217687074837, 0.2584269662921348
0.25034013605442185, 0.21348314606741559
0.3020408163265307, 0.1573033707865168
0.3523809523809524, 0.146067415730337
0.3959183673469388, 0.101123595505618
0.45170068027210886, 0.0898876404494382
0.5006802721088436, 0.0898876404494382
0.5482993197278911, 0.0786516853932584
0.5931972789115646, 0.0786516853932584
0.6462585034013605, 0.05617977528089879
0.6993197278911565, 0.0786516853932584
0.7510204081632652, 0.0786516853932584
0.7959183673469388, 0.0786516853932584
0.8476190476190475, 0.0674157303370786
0.893877551020408, 0.12359550561797761
0.946938775510204, 0.101123595505618
0.8897959183673468, -0.0449438202247191
0.8462585034013604, -0.101123595505618
0.7972789115646257, -0.1123595505617978
0.7496598639455782, -0.1910112359550562
0.6979591836734693, -0.2471910112359551
0.6462585034013605, -0.3258426966292135
0.6027210884353741, -0.3707865168539326
0.5496598639455782, -0.4382022471910112
0.5047619047619047, -0.5056179775280899
0.4530612244897959, -0.5730337078651686
0.4013605442176871, -0.651685393258427
0.34965986394557824, -0.7865168539325843
0.30068027210884357, -0.8651685393258427
0.2557823129251701, -1
0.20952380952380958, -1.1573033707865168
0.1496598639455783, -1.3707865168539326
0.107482993197279, -1.7078651685393258
0.08299319727891163, -1.9775280898876404
0.05034013605442189, -2.2808988764044944
0.0312925170068028, -2.98876404494382
0.019047619047619146, -3.629213483146067
0.005442176870748439, -2.426966292134831
