Time_Iter,Outer_Iter,Inner_Iter,"    ""rms[Rho]""    ","    ""rms[RhoU]""   ","    ""rms[RhoV]""   ","    ""rms[RhoE]""   ","     ""rms[nu]""    ","    ""RefForce""    ","       ""CD""       ","       ""CL""       ","       ""CSF""      ","       ""CMx""      ","       ""CMy""      ","       ""CMz""      ","       ""CFx""      ","       ""CFy""      ","       ""CFz""      ","      ""CEff""      ","     ""Buffet""     "
"          0","           0","           0","       -2.44212194","      -10.11362475","      -10.24265046","       3.021484324","      -10.36635713","       2739.987631","       1.204728061","    0.005569006385","                 0","                 0","                 0","    -0.01273614464","       1.204728061","    0.005569006385","                 0","    0.004622625276","    0.001299350433"
"          0","           0","           1","      -3.108316214","     -0.1650050271","     -0.2819942878","       2.356738673","      -9.601897395","       2739.987631","      0.4430309434","   -0.007070095068","                 0","                 0","                 0","   0.0009572576521","      0.4430309434","   -0.007070095068","                 0","    -0.01595846785","    0.001299350433"
"          0","           0","           2","      -3.099791129","     -0.2870038694","     -0.7496718174","       2.372476122","      -10.18403529","       2739.987631","      0.3874751356","    0.006315952171","                 0","                 0","                 0","  -0.0003426312614","      0.3874751356","    0.006315952171","                 0","     0.01630027734","    0.001299350433"
"          0","           0","           3","       -3.14846136","     -0.3773139133","     -0.8920083948","       2.321347524","      -10.28249793","       2739.987631","      0.3211068701","   -0.004894538324","                 0","                 0","                 0","   -0.002340445831","      0.3211068701","   -0.004894538324","                 0","    -0.01524270821","    0.001299350433"
"          0","           0","           4","      -3.286898728","     -0.4529010609","     -0.9219918834","       2.181951906","      -10.37158988","       2739.987631","      0.2838315136","    -0.00270153304","                 0","                 0","                 0","   -0.000814031025","      0.2838315136","    -0.00270153304","                 0","      -0.009518087","    0.001299350433"
"          0","           0","           5","      -3.440976045","     -0.5112156765","      -1.008330339","       2.029229052","      -10.25806753","       2739.987631","      0.2567479989","   -0.004327824155","                 0","                 0","                 0","   -0.001059724617","      0.2567479989","   -0.004327824155","                 0","    -0.01685631115","    0.001299350433"
"          0","           0","           6","      -3.564252889","     -0.5591568779","      -1.100122301","       1.901798743","      -10.15065269","       2739.987631","      0.2377884356","     -0.0045201614","                 0","                 0","                 0","   -0.001020790284","      0.2377884356","     -0.0045201614","                 0","    -0.01900917254","    0.001299350433"
"          0","           0","           7","      -3.665752779","     -0.6004959556","      -1.187048572","       1.796798423","      -10.05582306","       2739.987631","      0.2220791974","   -0.003976759137","                 0","                 0","                 0","  -0.0008680705998","      0.2220791974","   -0.003976759137","                 0","    -0.01790694123","    0.001299350433"
"          0","           0","           8","      -3.768323402","     -0.6357705831","      -1.284636987","       1.691320303","      -9.974210161","       2739.987631","      0.2085795479","   -0.004497311492","                 0","                 0","                 0","   -0.001038049761","      0.2085795479","   -0.004497311492","                 0","      -0.021561613","    0.001299350433"
"          0","           0","           9","      -3.837530524","     -0.6645140326","      -1.343337956","       1.620657257","      -9.909182968","       2739.987631","      0.1971753634","   -0.003959693599","                 0","                 0","                 0","  -0.0008721450963","      0.1971753634","   -0.003959693599","                 0","    -0.02008209104","    0.001299350433"
"          0","           0","          10","      -3.887764064","     -0.6883527192","      -1.382454988","       1.570283757","      -9.859854464","       2739.987631","       0.186639436","   -0.003578961921","                 0","                 0","                 0","  -0.0007827473528","       0.186639436","   -0.003578961921","                 0","    -0.01917580763","    0.001299350433"
"          0","           0","          11","      -3.930004217","     -0.7085801359","      -1.403497222","       1.529041914","      -9.825024161","       2739.987631","       0.176934918","   -0.003295037353","                 0","                 0","                 0","  -0.0007257958377","       0.176934918","   -0.003295037353","                 0","    -0.01862287779","    0.001299350433"
"          0","           0","          12","       -3.96869967","     -0.7252956062","      -1.417268863","       1.492079958","      -9.804443367","       2739.987631","       0.168266266","   -0.002829237455","                 0","                 0","                 0","  -0.0005948158837","       0.168266266","   -0.002829237455","                 0","    -0.01681405027","    0.001299350433"
"          0","           0","          13","      -4.003404286","     -0.7401316029","      -1.425082281","       1.459390212","      -9.797792788","       2739.987631","      0.1601464339","   -0.002435971793","                 0","                 0","                 0","  -0.0004724541308","      0.1601464339","   -0.002435971793","                 0","    -0.01521090251","    0.001299350433"
"          0","           0","          14","      -4.034879801","     -0.7541575042","      -1.426981073","        1.43016541","      -9.804338862","       2739.987631","      0.1526427809","   -0.002088367093","                 0","                 0","                 0","  -0.0003696234059","      0.1526427809","   -0.002088367093","                 0","    -0.01368140099","    0.001299350433"
"          0","           0","          15","      -4.062484346","     -0.7671132067","      -1.431052667","       1.404693934","      -9.823673524","       2739.987631","      0.1457465967","   -0.001700096811","                 0","                 0","                 0","  -0.0002829038882","      0.1457465967","   -0.001700096811","                 0","    -0.01166474449","    0.001299350433"
"          0","           0","          16","      -4.083943618","     -0.7785438513","      -1.432528317","        1.38519222","      -9.855044274","       2739.987631","      0.1392672653","   -0.001332977284","                 0","                 0","                 0","  -0.0001907970223","      0.1392672653","   -0.001332977284","                 0","   -0.009571361084","    0.001299350433"
"          0","           0","          17","      -4.102764385","     -0.7887875785","      -1.430644276","       1.368236295","      -9.897185187","       2739.987631","      0.1332115695","  -0.0009782500466","                 0","                 0","                 0","  -0.0001068932123","      0.1332115695","  -0.0009782500466","                 0","   -0.007343581719","    0.001299350433"
"          0","           0","          18","      -4.121070185","     -0.7983081509","      -1.429000444","       1.351540946","      -9.949332615","       2739.987631","      0.1275638768","  -0.0006150990135","                 0","                 0","                 0","  -1.619036092e-05","      0.1275638768","  -0.0006150990135","                 0","   -0.004821890247","    0.001299350433"
"          0","           0","          19","      -4.139334455","       -0.80776802","       -1.42806068","       1.334655146","      -10.00946954","       2739.987631","      0.1222342236","  -0.0002419786109","                 0","                 0","                 0","   7.784075841e-05","      0.1222342236","  -0.0002419786109","                 0","   -0.001979630612","    0.001299350433"
"          0","           0","          20","      -4.157640427","     -0.8173515529","      -1.428790911","       1.317499896","      -10.07614218","       2739.987631","      0.1172207209","   0.0001200423778","                 0","                 0","                 0","    0.000171426289","      0.1172207209","   0.0001200423778","                 0","    0.001024071314","    0.001299350433"
"          0","           0","          21","      -4.176344067","     -0.8267806664","      -1.431267877","       1.299787193","      -10.14768493","       2739.987631","      0.1125043783","   0.0004785950183","                 0","                 0","                 0","   0.0002645209977","      0.1125043783","   0.0004785950183","                 0","    0.004254012383","    0.001299350433"
"          0","           0","          22","       -4.19551126","     -0.8357830263","      -1.434227668","        1.28160719","      -10.21883602","       2739.987631","      0.1080438769","   0.0007905437348","                 0","                 0","                 0","   0.0003344133307","      0.1080438769","   0.0007905437348","                 0","    0.007316876786","    0.001299350433"
"          0","           0","          23","      -4.214751438","     -0.8442758278","      -1.437016682","        1.26346276","      -10.28938336","       2739.987631","        0.10382575","    0.001062034622","                 0","                 0","                 0","   0.0003881738137","        0.10382575","    0.001062034622","                 0","     0.01022900988","    0.001299350433"
"          0","           0","          24","      -4.233853783","     -0.8525224905","      -1.439894328","       1.245610485","      -10.35471741","       2739.987631","     0.09983874112","    0.001291138292","                 0","                 0","                 0","   0.0004258241794","     0.09983874112","    0.001291138292","                 0","      0.0129322373","    0.001299350433"
"          0","           0","          25","      -4.252767301","     -0.8609689719","      -1.443480303","       1.228093127","      -10.41261961","       2739.987631","     0.09605893468","     0.00146651462","                 0","                 0","                 0","   0.0004424446706","     0.09605893468","     0.00146651462","                 0","     0.01526682161","    0.001299350433"
"          0","           0","          26","      -4.271632039","     -0.8699136829","      -1.448383547","       1.210763171","       -10.4591946","       2739.987631","     0.09247166868","    0.001595021468","                 0","                 0","                 0","   0.0004422306128","     0.09247166868","    0.001595021468","                 0","     0.01724875836","    0.001299350433"
"          0","           0","          27","      -4.290557784","     -0.8793663777","      -1.454794479","        1.19344418","      -10.49896062","       2739.987631","     0.08906841977","    0.001680726445","                 0","                 0","                 0","   0.0004278359914","     0.08906841977","    0.001680726445","                 0","     0.01887006022","    0.001299350433"
"          0","           0","          28","      -4.309359493","     -0.8890921837","      -1.462278009","       1.176236317","      -10.53133212","       2739.987631","     0.08583405717","    0.001726630381","                 0","                 0","                 0","   0.0004016785755","     0.08583405717","    0.001726630381","                 0","     0.02011591247","    0.001299350433"
"          0","           0","          29","      -4.327712602","     -0.8987724166","      -1.470049869","       1.159449925","      -10.55584303","       2739.987631","     0.08275642034","    0.001736642612","                 0","                 0","                 0","    0.000368065084","     0.08275642034","    0.001736642612","                 0","      0.0209849895","    0.001299350433"
"          0","           0","          30","      -4.345441301","     -0.9081957864","      -1.477496601","       1.143223695","      -10.57255088","       2739.987631","     0.07982795191","    0.001719871126","                 0","                 0","                 0","   0.0003299465351","     0.07982795191","    0.001719871126","                 0","     0.02154472318","    0.001299350433"
"          0","           0","          31","      -4.362742673","     -0.9173533997","      -1.484439673","       1.127382939","      -10.58539531","       2739.987631","     0.07703791903","    0.001683520881","                 0","                 0","                 0","   0.0002915733225","     0.07703791903","    0.001683520881","                 0","     0.02185314585","    0.001299350433"
"          0","           0","          32","      -4.380151569","     -0.9264185683","      -1.491179163","       1.111475636","      -10.59580379","       2739.987631","      0.0743774848","    0.001635529133","                 0","                 0","                 0","   0.0002567425349","      0.0743774848","    0.001635529133","                 0","     0.02198957302","    0.001299350433"
"          0","           0","          33","      -4.398138097","     -0.9356441197","      -1.498303403","        1.09504295","       -10.6034848","       2739.987631","     0.07184003856","    0.001582675444","                 0","                 0","                 0","   0.0002269974931","     0.07184003856","    0.001582675444","                 0","     0.02203054837","    0.001299350433"
"          0","           0","          34","      -4.416906434","     -0.9452400182","      -1.506296072","       1.077917614","      -10.61217298","       2739.987631","      0.0694185295","     0.00153132041","                 0","                 0","                 0","   0.0002044816174","      0.0694185295","     0.00153132041","                 0","     0.02205924587","    0.001299350433"
"          0","           0","          35","      -4.436303131","     -0.9553031878","      -1.515402582","       1.060149842","      -10.61550769","       2739.987631","     0.06710595001","    0.001486531662","                 0","                 0","                 0","   0.0001894021072","     0.06710595001","    0.001486531662","                 0","      0.0221520098","    0.001299350433"
"          0","           0","          36","      -4.456008786","     -0.9658031863","      -1.525547847","       1.042020423","      -10.61348924","       2739.987631","     0.06489622467","    0.001449058135","                 0","                 0","                 0","   0.0001810304277","     0.06489622467","    0.001449058135","                 0","     0.02232885107","    0.001299350433"
"          0","           0","          37","      -4.475739932","     -0.9766205298","      -1.536454381","       1.023753612","      -10.60765319","       2739.987631","      0.0627839105","    0.001420857391","                 0","                 0","                 0","   0.0001785123166","      0.0627839105","    0.001420857391","                 0","     0.02263091578","    0.001299350433"
"          0","           0","          38","      -4.495318823","     -0.9876049081","      -1.547777521","       1.005524011","      -10.59740012","       2739.987631","     0.06076344692","    0.001401177239","                 0","                 0","                 0","   0.0001803317363","     0.06076344692","    0.001401177239","                 0","     0.02305954172","    0.001299350433"
"          0","           0","          39","       -4.51477639","     -0.9986288673","      -1.559226404","      0.9873912301","      -10.58866386","       2739.987631","     0.05882986154","    0.001388574943","                 0","                 0","                 0","     0.00018536194","     0.05882986154","    0.001388574943","                 0","     0.02360323323","    0.001299350433"
"          0","           0","          40","      -4.534160775","      -1.009623927","      -1.570642056","      0.9693139105","      -10.57984374","       2739.987631","     0.05697865487","    0.001383763464","                 0","                 0","                 0","   0.0001927575003","     0.05697865487","    0.001383763464","                 0","     0.02428564638","    0.001299350433"
"          0","           0","          41","      -4.553634563","      -1.020589251","      -1.581986885","      0.9512501678","      -10.57344861","       2739.987631","     0.05520545059","    0.001384540798","                 0","                 0","                 0","   0.0002017658718","     0.05520545059","    0.001384540798","                 0","      0.0250797844","    0.001299350433"
"          0","           0","          42","      -4.573245428","      -1.031581061","      -1.593348715","      0.9330961813","       -10.5690265","       2739.987631","     0.05350601043","    0.001391497712","                 0","                 0","                 0","   0.0002119792711","     0.05350601043","    0.001391497712","                 0","     0.02600638136","    0.001299350433"
"          0","           0","          43","      -4.593069076","       -1.04268967","      -1.604861931","      0.9148265554","      -10.56510912","       2739.987631","     0.05187679153","     0.00140328419","                 0","                 0","                 0","    0.000223031181","     0.05187679153","     0.00140328419","                 0","     0.02705032729","    0.001299350433"
"          0","           0","          44","       -4.61305021","      -1.054010163","      -1.616693499","      0.8963888152","       -10.5627633","       2739.987631","     0.05031411633","    0.001420013831","                 0","                 0","                 0","   0.0002347044241","     0.05031411633","    0.001420013831","                 0","     0.02822297071","    0.001299350433"
"          0","           0","          45","      -4.633129289","      -1.065618627","      -1.628965934","      0.8778325126","      -10.56086494","       2739.987631","     0.04881471482","    0.001440865704","                 0","                 0","                 0","   0.0002469220917","     0.04881471482","    0.001440865704","                 0","     0.02951703619","    0.001299350433"
"          0","           0","          46","      -4.653195348","      -1.077555268","      -1.641748187","      0.8591907606","      -10.55943327","       2739.987631","     0.04737544787","    0.001465474214","                 0","                 0","                 0","   0.0002596868351","     0.04737544787","    0.001465474214","                 0","      0.0309332002","    0.001848250942"
"          0","           0","          47","      -4.673163373","       -1.08982088","      -1.655027178","      0.8405379985","      -10.55709958","       2739.987631","     0.04599334918","    0.001493622465","                 0","                 0","                 0","   0.0002730962346","     0.04599334918","    0.001493622465","                 0","     0.03247474888","    0.001848250942"
"          0","           0","          48","      -4.693037363","      -1.102382193","      -1.668729391","      0.8218901622","      -10.55447528","       2739.987631","     0.04466570725","    0.001524625257","                 0","                 0","                 0","   0.0002871548803","     0.04466570725","    0.001524625257","                 0","     0.03413413445","    0.001848250942"
"          0","           0","          49","      -4.712846295","      -1.115184601","      -1.682747238","      0.8032350181","       -10.5507826","       2739.987631","     0.04338977161","    0.001558417759","                 0","                 0","                 0","   0.0003017798354","     0.04338977161","    0.001558417759","                 0","     0.03591670803","    0.001848250942"
"          0","           0","          50","      -4.732724212","      -1.128166636","      -1.696974457","      0.7845339841","       -10.5478397","       2739.987631","      0.0421632362","     0.00159416761","                 0","                 0","                 0","   0.0003168330076","      0.0421632362","     0.00159416761","                 0","     0.03780942245","    0.002481352753"
"          0","           0","          51","      -4.752719594","      -1.141271933","      -1.711337983","      0.7657434527","      -10.54497063","       2739.987631","     0.04098360245","    0.001631563774","                 0","                 0","                 0","   0.0003320097423","     0.04098360245","    0.001631563774","                 0","     0.03981016007","    0.002481352753"
"          0","           0","          52","      -4.772883124","      -1.154457868","      -1.725802824","       0.746886338","      -10.54279665","       2739.987631","     0.03984879667","    0.001669630057","                 0","                 0","                 0","   0.0003469779638","     0.03984879667","    0.001669630057","                 0","     0.04189913364","    0.002481352753"
"          0","           0","          53","      -4.793137221","      -1.167697677","      -1.740367567","       0.728001065","      -10.54135926","       2739.987631","     0.03875664191","    0.001707591701","                 0","                 0","                 0","   0.0003612834141","     0.03875664191","    0.001707591701","                 0","     0.04405933064","    0.002481352753"
"          0","           0","          54","      -4.813380687","      -1.180981532","      -1.755047928","      0.7091923531","      -10.54161085","       2739.987631","     0.03770524119","    0.001744388274","                 0","                 0","                 0","   0.0003744868363","     0.03770524119","    0.001744388274","                 0","     0.04626381423","    0.002481352753"
"          0","           0","          55","      -4.833493819","      -1.194314081","      -1.769860596","      0.6905259056","      -10.54332352","       2739.987631","     0.03669272325","     0.00177895168","                 0","                 0","                 0","   0.0003861049453","     0.03669272325","     0.00177895168","                 0","     0.04848241075","    0.002481352753"
"          0","           0","          56","      -4.853384018","       -1.20771222","       -1.78481651","      0.6720567856","       -10.5465236","       2739.987631","      0.0357173568","     0.00181027929","                 0","                 0","                 0","   0.0003957415121","      0.0357173568","     0.00181027929","                 0","     0.05068346184","    0.002481352753"
"          0","           0","          57","      -4.873046702","       -1.22120138","      -1.799921141","      0.6537679949","       -10.5508354","       2739.987631","     0.03477751904","    0.001837386086","                 0","                 0","                 0","   0.0004030568293","     0.03477751904","    0.001837386086","                 0","     0.05283258084","    0.002481352753"
"          0","           0","          58","       -4.89251261","      -1.234812091","      -1.815179522","      0.6356025791","      -10.55555823","       2739.987631","     0.03387162718","    0.001859505767","                 0","                 0","                 0","   0.0004078353385","     0.03387162718","    0.001859505767","                 0","     0.05489862523","    0.002481352753"
"          0","           0","          59","      -4.911891181","      -1.248575861","      -1.830605601","      0.6174682962","        -10.560798","       2739.987631","     0.03299822811","    0.001875995588","                 0","                 0","                 0","   0.0004099814535","     0.03299822811","    0.001875995588","                 0","     0.05685140371","    0.002481352753"
"          0","           0","          60","      -4.931285506","      -1.262521586","      -1.846222148","      0.5992656234","      -10.56635923","       2739.987631","     0.03215589709","    0.001886465208","                 0","                 0","                 0","   0.0004095335965","     0.03215589709","    0.001886465208","                 0","     0.05866622854","    0.002481352753"
