"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,           0,      -2.124201945,      -10.11041914,      -10.11619674,       3.339404319,      -10.17408826,       4.645474558,       11.45473817,                 0,                 0,                 0,       3.086874655,       1.736332139,        12.2383255,                 0,       2.465784286,   0.0003338746338
          0,           0,           1,      -2.851433893,    -0.01359076366,      0.1537231764,       2.623593411,      -9.018373328,       3.916175685,         9.3980576,                 0,                 0,                 0,       2.537755971,       1.526252621,       10.06630377,                 0,       2.399804901,   0.0003338746338
          0,           0,           2,       -2.80685144,     -0.1222745857,     -0.1856523554,       2.671935161,      -9.539286018,       3.222960513,        7.42927757,                 0,                 0,                 0,       2.004339824,       1.329919899,       7.988300992,                 0,       2.305109709,   0.0003338746338
          0,           0,           3,       -2.81296976,      -0.221497999,     -0.5434905713,       2.661479757,      -9.835500825,       2.868848827,       6.597572616,                 0,                 0,                 0,       1.771024022,       1.187534482,       7.095633859,                 0,       2.299728223,   0.0003338746338
          0,           0,           4,      -2.902595416,     -0.3109828823,     -0.5542691273,       2.570099235,      -9.989040687,       2.678327009,       6.303021293,                 0,                 0,                 0,       1.684287554,       1.073930391,        6.76374057,                 0,       2.353342692,   0.0003338746338
          0,           0,           5,      -2.991632091,     -0.3897797803,     -0.5360574833,       2.478630112,      -10.07586065,       2.543946299,       6.179287164,                 0,                 0,                 0,       1.645968747,       0.973475358,       6.611172238,                 0,       2.429016354,   0.0003338746338
          0,           0,           6,      -3.047186839,      -0.453867934,     -0.5255624461,       2.419890579,      -10.12745966,       2.426474601,       6.095821291,                 0,                 0,                 0,       1.620091256,      0.8796852934,       6.501766682,                 0,       2.512213105,   0.0003338746338
          0,           0,           7,      -3.071216332,      -0.494991892,     -0.5032169503,        2.39327679,      -10.16019452,       2.311552071,        6.00592179,                 0,                 0,                 0,       1.593463795,      0.7899251116,       6.386735304,                 0,       2.598220418,   0.0003338746338
          0,           0,           8,      -3.080984206,     -0.5067563707,     -0.4749705949,       2.381960555,       -10.1853601,       2.192958385,       5.888049244,                 0,                 0,                 0,        1.55972831,      0.7033701139,       6.243673667,                 0,       2.684979927,   0.0003338746338
          0,           0,           9,      -3.090065704,     -0.4929390524,     -0.4497615739,       2.371970136,      -10.20790396,       2.067693343,       5.729435383,                 0,                 0,                 0,       1.514752371,      0.6201981454,       6.059466959,                 0,       2.770930904,   0.0003338746338
          0,           0,          10,       -3.10413605,     -0.4655744893,     -0.4318398316,        2.35722019,      -10.22782967,       1.934270042,       5.521294022,                 0,                 0,                 0,       1.455258261,      0.5410920396,       5.825230269,                 0,       2.854458737,   0.0003338746338
          0,           0,          11,      -3.122895554,      -0.436265935,     -0.4224878652,       2.337759372,      -10.24160677,       1.792125963,       5.257619032,                 0,                 0,                 0,        1.37853951,      0.4669590002,       5.534999787,                 0,       2.933732975,   0.0003338746338
          0,           0,          12,      -3.141947509,     -0.4120945884,     -0.4218407363,       2.317876471,      -10.24437981,       1.641406864,       4.935098257,                 0,                 0,                 0,       1.282548938,      0.3987417401,       5.185597008,                 0,       3.006627037,   0.0003338746338
          0,           0,          13,      -3.154659133,     -0.3963383092,      -0.429520898,        2.30429586,      -10.23321963,       1.482831874,        4.55318353,                 0,                 0,                 0,       1.166059059,      0.3372706395,       4.776664018,                 0,       3.070599985,   0.0003338746338
          0,           0,          14,      -3.155171747,     -0.3901375327,     -0.4447206274,       2.303195125,      -10.20909286,       1.317541063,        4.11404307,                 0,                 0,                 0,       1.028785933,      0.2831273644,        4.31058044,                 0,       3.122516016,   0.0003338746338
          0,           0,          15,      -3.141643974,     -0.3936324677,     -0.4662000158,       2.316758318,      -10.17596237,       1.146938286,       3.622376984,                 0,                 0,                 0,       0.871447616,      0.2365370106,        3.79224639,                 0,       3.158301565,   0.0003338746338
          0,           0,          16,      -3.116919304,     -0.4065173866,     -0.4923584288,       2.342208152,      -10.13843919,      0.9725819434,       3.085097511,                 0,                 0,                 0,      0.6957504407,      0.1973394653,       3.228745797,                 0,       3.172069491,   0.0003338746338
          0,           0,          17,      -3.086232166,     -0.4281555455,     -0.5213483191,       2.374078821,      -10.10020762,      0.7961693645,       2.510954554,                 0,                 0,                 0,         0.5043406,      0.1650648462,       2.628979275,                 0,        3.15379449,   0.0003338746338
          0,           0,          18,      -3.054662342,     -0.4573555074,     -0.5511246194,       2.406976475,       -10.0636524,      0.6195872262,       1.910204442,                 0,                 0,                 0,        0.30072931,       0.139062558,       2.003354923,                 0,       3.083027476,   0.0003338746338
          0,           0,          19,      -3.026009869,     -0.4918653524,     -0.5793462531,       2.436866477,      -10.03002325,      0.4449283884,        1.29421197,                 0,                 0,                 0,     0.08915587502,      0.1186139006,       1.363406263,                 0,       2.908809607,   0.0003338746338
          0,           0,          20,      -3.002733304,     -0.5276364452,     -0.6031953477,       2.461165968,      -9.999722822,       0.274460762,      0.6750500253,                 0,                 0,                 0,     -0.1255856024,      0.1029987226,      0.7213962223,                 0,       2.459550212,   0.0003338746338
          0,           0,          21,      -2.986242621,      -0.558384202,     -0.6194191904,       2.478417976,      -9.972510524,      0.1105511513,     0.06508770033,                 0,                 0,                 0,      -0.338353471,     0.09152116981,     0.08989906155,                 0,      0.5887564223,   0.0003338746338
          0,           0,          22,      -2.977215301,     -0.5766785143,      -0.624997201,       2.487936545,      -9.947715158,    -0.04441898538,     -0.5234212687,                 0,                 0,                 0,     -0.5438817282,     0.08352751383,     -0.5186193452,                 0,        11.7837286,   0.0003979525787
          0,           0,          23,      -2.975846812,     -0.5774475772,     -0.6184071464,       2.489531594,      -9.924339076,     -0.1881361756,      -1.078726572,                 0,                 0,                 0,     -0.7370046734,     0.07841985003,      -1.092198043,                 0,       5.733754121,   0.0003979525787
          0,           0,          24,      -2.982013176,     -0.5614316503,     -0.6006102422,       2.483335886,      -9.901286292,     -0.3184252987,      -1.589912178,                 0,                 0,                 0,     -0.9128642152,     0.07566786163,      -1.619719044,                 0,       4.993046046,   0.0003979525787
          0,           0,          25,      -2.995326197,     -0.5344256965,     -0.5747840406,       2.469748421,      -9.877433732,     -0.4333073207,      -2.047147457,                 0,                 0,                 0,      -1.067091515,     0.07481355204,      -2.091164957,                 0,       4.724470046,   0.0003979525787
          0,           0,          26,      -3.015052497,     -0.5033678064,     -0.5450332635,        2.44951904,      -9.851788931,     -0.5310530529,        -2.4418754,                 0,                 0,                 0,      -1.195949663,     0.07546461785,      -2.497814626,                 0,       4.598175995,   0.0003979525787
          0,           0,          27,      -3.039863835,      -0.473599648,     -0.5151615347,       2.424006278,      -9.823703179,     -0.6102232993,      -2.766935872,                 0,                 0,                 0,      -1.296435399,     0.07728531168,      -2.832372429,                 0,       4.534300599,   0.0003979525787
