"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,           0,      -2.318638208,      -10.10507868,      -10.12656246,       3.144968056,      -10.25856395,       2.622522803,      -4.513233928,                 0,                 0,                 0,      -1.256206487,       2.136394942,      -4.762638239,                 0,      -1.720951262,     0.00126277077
          0,           0,           1,      -3.019262384,     0.02415139931,    -0.07771990576,       2.455854961,      -9.016905131,       1.394133794,     -0.9618541092,                 0,                 0,                 0,     -0.1544170859,       1.285955451,      -1.102311635,                 0,     -0.6899295559,     0.00126277077
          0,           0,           2,      -2.948699567,     -0.1014282672,     -0.5174764512,       2.521792532,      -10.00802931,       1.184901672,     -0.6561160356,                 0,                 0,                 0,     -0.1399690057,       1.109827856,     -0.7763777142,                 0,     -0.5537303653,     0.00126277077
          0,           0,           3,      -3.001834671,     -0.2030949135,     -0.6603347316,       2.464163536,      -10.04612788,       1.005506658,     -0.7063270905,                 0,                 0,                 0,     -0.1119750692,      0.9261671023,     -0.8075618226,                 0,     -0.7024588894,     0.00126277077
          0,           0,           4,      -3.096866474,     -0.2666421163,     -0.6508714703,       2.368425846,      -9.968867203,      0.8509631009,     -0.4805308688,                 0,                 0,                 0,    -0.03561155329,      0.7960722827,     -0.5668483357,                 0,     -0.5646906056,     0.00126277077
          0,           0,           5,       -3.17786498,     -0.3052840388,     -0.6457789432,       2.283560098,      -9.829646505,      0.7483144806,     -0.5659126789,                 0,                 0,                 0,    -0.05010009477,       0.685061153,     -0.6410327127,                 0,     -0.7562498034,     0.00126277077
          0,           0,           6,      -3.225566412,     -0.3186067288,     -0.6340408138,       2.236437877,      -9.697582456,      0.6531293761,     -0.5265527921,                 0,                 0,                 0,     -0.0244630621,      0.5945117108,     -0.5919388909,                 0,     -0.8061998303,     0.00126277077
          0,           0,           7,       -3.27774901,     -0.3235478908,     -0.6424769326,       2.182714188,      -9.586224801,      0.5769516607,     -0.5542813159,                 0,                 0,                 0,    -0.02447437977,       0.515852885,     -0.6115527753,                 0,     -0.9607066824,     0.00126277077
          0,           0,           8,      -3.325758861,     -0.3275662269,     -0.6758693234,        2.13457686,      -9.495307659,       0.509188915,     -0.5576111252,                 0,                 0,                 0,    -0.01550366445,      0.4481132908,      -0.607781208,                 0,      -1.095096749,     0.00126277077
          0,           0,           9,      -3.365889127,     -0.3321996755,     -0.7309686654,       2.095790746,      -9.424818261,      0.4522058597,      -0.567633608,                 0,                 0,                 0,    -0.01229402801,      0.3903947599,     -0.6117924353,                 0,      -1.255254871,     0.00126277077
